Name,AppID,protonBestReportedTier,protonConfidence,protonScore,protonTier,protonTotal,protonTrendingTier
Bee-Man,2414710,,,,,,
Demon's Bane,2456130,,,,,,
Dungeon Tactics,1652520,,,,,,
Castle: Jigsaw Puzzles,860880,,,,,,
M.E.A.T. Demo,1491580,,,,,,
Kaz's Adventure,2013680,,,,,,
Cart Racer,587420,platinum,low,0.44,platinum,3,platinum
Nock,2010000,,,,,,
Electronic Super Joy 2 - Gold Edition,1121810,,,,,,
Target React Force,2140410,,,,,,
Mage World - The Wizard's Stone,1431380,,,,,,
TTV4,2062920,platinum,inadequate,0.21,pending,1,pending
Garden Tale,614530,,,,,,
Roxy Raccoon's Pinball Panic - Tabletop Terror,2854090,,,,,,
Deck of Ashes - Skin pack,1155280,,,,,,
Wilbur's Quest,1567570,,,,,,
TIGER GAME ASSETS LOGOTYPE VOL.22,1360313,,,,,,
Angel Legion-DLC Allurement(Black),2191910,,,,,,
Alone,1975890,,,,,,
LIGHTNING RETURNS:FINAL FANTASY XIII Original Soundtrack PLUS,3372210,,,,,,
Locomancer,490250,,,,,,
I commissioned some snails 2,3509790,,,,,,
Travelers in Space Crack,1893200,,,,,,
Near-Death-Expedition Soundtrack,3420240,,,,,,
PC Building Simulator Soundtrack,1263560,,,,,,
PI.EXE,1913780,,,,,,
Fantasy Grounds - FG Underwater,1527490,,,,,,
Shadows of Kurgansk,463860,,,,,,
Perino Candy Buster,3319050,,,,,,
The Crossroads,3350820,,,,,,
Bret Airborne,342510,borked,inadequate,0,pending,1,pending
Color Souls,1590080,,,,,,
STAY - Supporter Pack,1872570,,,,,,
Castlevania: Lords of Shadow â€“ Mirror of Fate HD,282530,platinum,good,0.73,platinum,25,platinum
Wayward Manor,246720,platinum,inadequate,0.21,pending,2,pending
Wings of Glory,965620,,,,,,
Cybercube battle,1431620,,,,,,
World of Guns: XIX Century Pack #1,969070,,,,,,
Burning Squad Demo,3299770,,,,,,
Jagged Alliance: Back in Action - Point Blank DLC,203345,,,,,,
Wolf West,2439740,,,,,,
Galactic Explorers,1964990,,,,,,
Fantasy Grounds - Devin Night Pack 203: Elemental Undead,2794930,,,,,,
Mini-Dead,851530,platinum,low,0.44,platinum,3,platinum
Overheat,1710590,,,,,,
Hot And Lovely ï¼šSuger - adult patch,2819250,,,,,,
Fairy Carrots Demo,2714350,,,,,,
Lighthouse Keeper,2023050,platinum,low,0.61,platinum,6,platinum
The Occupation: Deluxe Edition Upgrade,1172700,,,,,,
Train Simulator: E18 Loco Add-On,65254,,,,,,
è¿™ä¸ªæ¸¸æˆ,3578590,,,,,,
ASURA,2293900,,,,,,
Galcon 2,294160,platinum,inadequate,0.21,pending,1,pending
"Warhammer 40,000: Warpforge - Sororitas starter bundle",2961950,,,,,,
Dungems,2063800,,,,,,
VR Escape the space station,513420,,,,,,
Dogurai,565180,,inadequate,0,pending,1,pending
LEGO Batman 3: Beyond Gotham DLC: Batman of the Future Character Pack,327173,,,,,,
Stella Gladio,3384490,,,,,,
Star Sky 2,443460,,,,,,
Okinawa Rush,777670,platinum,low,0.44,platinum,3,platinum
ĞĞ°Ğ²ÑŒ Demo,2951930,,,,,,
ä¹±ä¸–å¥‡è°‹Stratagem in troubled times,1394330,,,,,,
æ— é—´,2050520,,,,,,
Cellyon: Boss Maker,3041620,,,,,,
Locked in my Darkness 2: The Room,3330930,,,,,,
Critias Empire Demo,1975050,,,,,,
Incline,2814940,,,,,,
Sweep Maidens Demo,3164540,,,,,,
Flyist,1333980,,,,,,
Damocles Gaze,2521530,,,,,,
Locomotive 115 Soundtrack,3373940,,,,,,
Two Souls,2728080,,,,,,
Arkanoid - Eternal Battle,1717270,platinum,moderate,0.55,gold,12,platinum
Fall Balance Ball Demo,1570270,,,,,,
Dinner With Strangers,1930300,,,,,,
Eden Gamma,1637830,,,,,,
Hive Playtest,2884240,,,,,,
Hammer of Pain Playtest,2485520,,,,,,
Deicider,1932810,,,,,,
Sevgilim Olur musun ?,713650,platinum,inadequate,0.21,pending,1,pending
Hell Green Blue,2010400,,,,,,
The Black Grimoire: Cursebreaker Demo,2288440,,,,,,
Acre Crisis,2932900,,,,,,
Gatewalkers Demo,1527990,,,,,,
Factory Hiro,770820,,,,,,
DFF NT: Vaan Starter Pack,1022467,,,,,,
Downfall of Krynto,1829940,,,,,,
PerimbÃ³ Demo,3450440,,,,,,
Trainz Plus DLC - Orient Express Trainset,1947542,,,,,,
Wheelchair Simulator VR Demo,846290,,,,,,
Maze of Fear,2492930,,,,,,
Rockjack,1348930,,,,,,
Gizmos: Interstellar Voyage Demo,1740260,,,,,,
SpellForce: Conquest of Eo,1581770,platinum,low,0.65,platinum,7,platinum
å¤©åœ°å½’è™š Demo,1991740,,,,,,
Fantasy Grounds - Jans Tokenpack 12 - Farm Animals,1329160,,,,,,
Mona,1607190,,,,,,
FATAL FURY: City of the Wolves,2492040,platinum,low,0.65,platinum,7,platinum
Call of Duty: Ghosts - Wolf Skin,268101,,,,,,
Tiger Tank 59 â…  Air Strike MP097,1675826,,,,,,
Master Car Creation in Blender: 3.09 - Flag Logo Shader,953728,,,,,,
é…†éƒ½æˆ˜è®° Playtest,3423070,,,,,,
The Battle of Polytopia - Elyrion Tribe,982201,,,,,,
Sanator: Scarlet Scarf,650330,,,,,,
HZ_SERVER,2728330,,,,,,
BioShock Infinite - Season Pass,214933,,,,,,
Re Angel - Original Sound Track,839110,,,,,,
Commander : The Great War,312350,platinum,low,0.21,gold,3,gold
Lost Zone: Survival,3233060,,,,,,
Just Another Platformer Demo,3139040,,,,,,
Sonic Generations,71340,platinum,strong,0.69,gold,216,gold
Terra Puzzle 3D,1825000,,,,,,
Tiger Tank 59 â…  Break The Fog MP039,1687838,,,,,,
DarkSpar Demo,1930570,,,,,,
GHOST: AC-130 CLOSE AIR SUPPORT,2307430,,,,,,
The Dragons's Path,3385120,,,,,,
Astroneer: Glitchwalkers,3042220,,,,,,
Tiny Kingdom,2438260,,,,,,
Retaliation: Enemy Mine Demo,436700,,,,,,
Reilla ~Sweets Adventure~,2103190,,,,,,
Rocksmith 2014 - Crobot - Nowhere to Hide,436608,,,,,,
Kontrakt,924370,platinum,inadequate,0.21,pending,2,pending
GIRLS VS TENTACLES,3136220,,,,,,
Survive It: Frozen - All Characters Pack,2962630,,,,,,
Akaku Forest Demo,3209430,,,,,,
My Low Poly City,1499940,,,,,,
Clive vs Hives 2,1883230,,,,,,
Lost Lands: Stories of the First Brotherhood Demo,2852330,,,,,,
DYE: Original Soundtrack,589600,,,,,,
"Furry Shakespeare: Two Incredibly Ripped, Absolutely Shredded Noble Kinsmen",1824590,,,,,,
Machinery 3,3453400,,,,,,
AquaCo,3361790,,,,,,
Keep It Running: Together,3448380,,,,,,
Foster The Monster,2810010,,,,,,
Otome No Himitsu,1871810,,,,,,
New Stars Playtest,2390890,,,,,,
Super Trunko Go,1934660,,,,,,
darkcase : the basement,430100,,,,,,
Gravepact Demo,3198770,,,,,,
SPEARHEAD - FREE PAPER PACK,1978260,,,,,,
Scholomatch,2113350,,,,,,
Furry Reich ğŸº,2288660,platinum,inadequate,0.21,pending,1,pending
I've Seen Everything - Flowers,1873944,,,,,,
Agents of Mayhem - Safeword Agent Pack,613260,,,,,,
ã€çµµè©± -kaiwa-ã€,1916860,,,,,,
Diamond Board,3193540,,,,,,
DreamBreak â€” Special Edition,504970,,,,,,
Groove Coaster - Konohazuku,966520,,,,,,
Bitcoin,819650,platinum,inadequate,0.21,pending,1,pending
Blade Symphony Soundtrack,301600,,,,,,
Paradise Checkers,986760,,,,,,
Race Against a Duck: Duck Deluxe,2808150,,,,,,
Let's Ride! Silver Buckle Stables,1587860,platinum,inadequate,0.21,pending,1,pending
Hidden Square Demo,3008430,,,,,,
Blagmoz Soundtrack,2720240,,,,,,
GlÃ¶d,1927500,,,,,,
GunQuest Playtest,1972790,,,,,,
Fluffy Creatures VS The World,619400,platinum,inadequate,0.21,pending,1,pending
Strange Waveforms,3574700,,,,,,
Speedpunk - Greeble city,1623781,,,,,,
The Divide,1841530,,,,,,
Dark Romance: Heart of the Beast Collector's Edition,826420,,,,,,
ãƒ€ãƒ³ã‚¸ãƒ§ãƒ³äººç‹¼ã€€ã‚¹ãƒšã‚·ãƒ£ãƒ«ã‚¹ã‚¿ãƒ³ãƒ—ã€€ãƒãƒ£ãƒ³,3016440,,,,,,
Queen of Seas,575580,platinum,low,0.21,gold,3,gold
Sassy Girl,2471650,,,,,,
Gradually Forward,1057450,,,,,,
Anti-Bully Adventure,1928680,,,,,,
Digital Influence,3146840,,,,,,
DANGER! Escape Lab,1413680,,,,,,
ì´ì„¸ê³„ë©”ì´ë“œ / ì™¸ì „ì†Œì„¤,2429500,,,,,,
OVERKILL,2166360,,,,,,
Humans Took my Neighbors Demo,1466510,,,,,,
Trackmania Turbo,375900,platinum,good,0.44,gold,19,gold
- Doki Doki Family - ç‰¹ç•°ä½“è³ªè€…ã®ãƒ‰ã‚­ãƒ‰ã‚­å®¶æ—ç”Ÿæ´»,1961860,,,,,,
RPG Maker VX Ace - Aztec Character Pack,618770,,,,,,
Strategy & Tactics: Wargame Collection,338130,borked,inadequate,0,pending,4,pending
Broken Hearts Island,2499420,,,,,,
The Legend of Heroes: Trails of Cold Steel - Alisa's Casuals,605280,,,,,,
Nauticalypse,1626060,,,,,,
Insurgency: Sandstorm - Damascus Weapon Skin Set,2062370,,,,,,
HITMAN 3 - Seven Deadly Sins Collection,1829587,,,,,,
Kitty Loves Birds,3230860,,,,,,
Fluida,2794990,,,,,,
Void Rush,2050770,,,,,,
Eden Genesis: Piano Collection,3048810,,,,,,
Paint By Numbers - 8-Bit World Ep. 9,3042910,,,,,,
Super Virus Defense,2026270,,,,,,
100 Asian Cats - Donation M,2733960,,,,,,
Steel Division 2 - Burning Baltics,1418231,,,,,,
Coloring Pixels - Flag Pack,942230,,,,,,
Heroes Rise: The Hero Project Demo,305440,,,,,,
The Tower Of TigerQiuQiu Guardian,1446910,,,,,,
Until Last Breath Soundtrack,1425150,,,,,,
She Wants Me Dead - Track DLC,473420,,,,,,
Monster Hunter World: Iceborne - Pendant: Moly Pendant - Protection,1241284,,,,,,
WindSoul,631960,,,,,,
Looking For Cats In a Badly Drawn Forest,2795860,platinum,inadequate,0.34,pending,2,pending
Tetsumo Party,1006120,,,,,,
COZY DESKTOP KONBINI,3503230,,,,,,
"Find & Destroy - Rare Set ""SturmgeschÃ¼tz""",862914,,,,,,
Chrono Odyssey,2873440,,,,,,
KyÅtabi,2236460,,,,,,
Pirates Odyssey,1939780,,,,,,
Dominated By: Sadistic Sensei,3310410,,,,,,
Viking Heroes 5,2725020,,,,,,
Turbo Live Demo,3273080,,,,,,
Vitrum Demo,294350,,,,,,
Clay Game,1276100,platinum,inadequate,0.21,pending,1,pending
BQM - BlockQuest Maker Remastered Demo,2184500,,,,,,
Infectonator 3: Apocalypse,666570,platinum,moderate,0.43,gold,11,platinum
"Dimmdrive :: Gaming Ramdrive @ 10,000+ MB/s",337070,,,,,,
æ¾ç²¾éŒ¬é‡‘å·¥æˆ¿ã‚¤ãƒªã‚¹ï½éŒ¬é‡‘è¡“å¸«ã¨å‹‡è€…ã¨ç«œé¨å£«ã¨å¥³ç¥ã•ã¾ã®ãˆã£ã¡ãªå†’é™ºï½,2780380,,,,,,
Jerez's Arena,1333360,platinum,low,0.44,platinum,3,platinum
Tombstone Tally,3249060,,,,,,
Visual Novel Maker - JRPG and Fantasy Music Vol 3,1624400,,,,,,
Squares of Hell,3005260,,,,,,
The Rise of the Hero,3348540,,,,,,
Sprite Sequence Chapter 2,1659270,,,,,,
Punch Max,2945510,,,,,,
LUXOR: 5th Passage ,60340,platinum,low,0.42,gold,5,gold
Tiger Fighter 1931 Tora! MP050,1704009,,,,,,
Love Season - Winter,1910070,,,,,,
Night Project - Chapter 3,3250500,,,,,,
The Feathered Serpent,1832240,,,,,,
Tomato Jones - Episode 3 Demo,804790,,,,,,
Zombie Blender,1555470,,,,,,
Planet Prospector,2822110,,,,,,
RenewEd3D,3343880,,,,,,
Wonder Zoo Playtest,2797030,,,,,,
Fantasy Grounds - D&D Rogue Class Pack,360099,,,,,,
Multiplayer FPS Tutorial Demo,628440,,,,,,
God's Challenge,1217640,,,,,,
World of Warplanes,790710,platinum,good,0.35,silver,25,gold
My Furry Neighbour,1705520,,,,,,
Animal Kingdom 3,3049770,,,,,,
Metal Thunder,3091340,platinum,inadequate,0.21,pending,1,pending
GUNBIRD 2,1279410,platinum,low,0.44,platinum,3,platinum
Aboriginal,2337270,,,,,,
Candy Tycoon,2206380,,,,,,
Pinball Hero,3009440,,,,,,
ãƒªãƒ•ãƒˆãƒ”ã‚¢ã€€ã‚‚ã†ã²ã¨ã®ã›ï¼,2216980,,,,,,
Tennis the Menace Demo,2270510,,,,,,
Devil May Cry 5 - Pasta Breaker,941958,,,,,,
The Witcher 3: Wild Hunt Soundtrack,1229320,,,,,,
Sales employee Takeru-Kun,2926300,,,,,,
No Turning Back: Class Unlock Pack 5,1342883,,,,,,
LOST EGG 2: Be together,1597400,platinum,inadequate,0.21,pending,1,pending
Puzzle Checkers: The Rooks,3200200,,,,,,
The Mask Game,2398880,,,,,,
Creepy Claus,3320880,,,,,,
"Atelier Ryza 2: ""Nostalgic Straw Hat"" Accessory for Ryza",1441710,,,,,,
Don't Byte Your Tongue,1625440,,,,,,
Die Rangliste,1520690,,,,,,
è½»ç‚¹æ±Ÿæ¹–æ°´,1514280,,,,,,
Masquerade: The Baubles of Doom Demo,450510,,,,,,
VR 10 Pin Bowling,787580,,,,,,
Towers & Goblins: The Last Stand Demo,3285450,,,,,,
Top Villain: Total Domination,2411390,,,,,,
ãƒŠãƒ³ãƒ—ãƒ¬ Classic - Soundtrack,2887170,,,,,,
Flowers -Le volume sur ete-,858940,platinum,low,0.15,silver,4,silver
Pinball FX - Godzilla vs. Kong Pinball Pack,2351844,,,,,,
Pixel Ripped 1995 - A Funky Pixel Ripped Tribute,1381920,,,,,,
RPG Maker MZ - MEGA FANTASY Walking Monsters and Faces,2998090,,,,,,
FIREWORK,974870,,,,,,
Gummy Jump 2,2890730,,,,,,
TaleSpire,720620,platinum,strong,0.61,gold,26,gold
RPG Maker MZ - KR Halloween Party Tileset,2185610,,,,,,
ç”µç æ— å£°,2936060,,,,,,
Kaf village,3134550,,,,,,
WolfQuest: Classic,431180,platinum,inadequate,0.34,pending,3,pending
The Forest Prison,1742910,,,,,,
The God's Chain,504490,,,,,,
Splatter Demo,1768930,,,,,,
ã‚¨ãƒãƒ«ã‚®ãƒ¼ã‚¯ãƒ©ãƒƒã‚·ãƒ¥,3314090,,,,,,
Don't Remember,2194760,,,,,,
"Synth Riders - Muse - ""Algorithm (Alternate Reality Version)""",1515480,,,,,,
Tank Force: Online Shooter Game,604500,platinum,inadequate,0.34,pending,3,pending
Deja Vu: MacVenture Series,343820,platinum,low,0.31,gold,4,gold
Succubus Runa and the Erotic Dungeon,1646180,,,,,,
Angel Legion-DLC Chain Trace (Blue),3123160,,,,,,
Minions of Elden,1295070,,,,,,
Uncle Kenny The Game Demo,2983210,,,,,,
Mystic Ruins,907900,,,,,,
